Coach,School,Conference,Season Wins,Season Losses,Season W-L%,AP Pre,AP Post,NCAA Tournament,Since,School Wins,School Losses,School W-L%,School NCAA,School S16,School FF,School Chmp,Career Wins,Career Losses,Career W-L%,Career NCAA,Career S16,Career FF,Career Chmp
Nick Macarchuk,Stony Brook,AEC,13.0,15.0,0.464,,,,1999-00,42.0,71.0,0.372,,,,,352,391,0.474,1.0,,,
Kyle Macy,Morehead State,OVC,20.0,9.0,0.69,,,,1997-98,75.0,92.0,0.449,,,,,75,92,0.449,,,,
Don Maestri,Troy,A-Sun,26.0,6.0,0.812,,,Lost First Round,1993-94,147.0,134.0,0.523,1.0,,,,147,134,0.523,1.0,,,
Dave Magarity,Marist,MAAC,13.0,16.0,0.448,,,,1986-87,247.0,237.0,0.51,1.0,,,,307,313,0.495,1.0,,,
Rick Majerus,Utah,MWC,25.0,8.0,0.758,,,Lost Second Round,1989-90,308.0,90.0,0.774,10.0,4.0,1.0,,407,142,0.741,11.0,4.0,1.0,
Bob Marlin,Sam Houston,Southland,23.0,7.0,0.767,,,Lost First Round,1998-99,85.0,57.0,0.599,1.0,,,,85,57,0.599,1.0,,,
Donnie Marsh,Florida International,Sun Belt,8.0,21.0,0.276,,,,2000-01,26.0,62.0,0.295,,,,,26,62,0.295,,,,
Gregg Marshall,Winthrop,Big South,20.0,10.0,0.667,,,,1998-99,99.0,52.0,0.656,4.0,,,,99,52,0.656,4.0,,,
Phil Martelli,St. Joseph's,A-10,23.0,7.0,0.767,,,Lost First Round,1995-96,149.0,97.0,0.606,3.0,1.0,,,149,97,0.606,3.0,1.0,,
John Masi,UC-Riverside,Big West,6.0,18.0,0.25,,,,2001-02,14.0,36.0,0.28,,,,,14,36,0.28,,,,
Rollie Massimino,Cleveland State,Horizon,8.0,22.0,0.267,,,,1996-97,90.0,113.0,0.443,,,,,481,375,0.562,11.0,5.0,1.0,1.0
Philip Mathews,San Francisco,WCC,15.0,14.0,0.517,,,,1995-96,121.0,110.0,0.524,1.0,,,,121,110,0.524,1.0,,,
Thad Matta,Xavier,A-10,26.0,6.0,0.812,10.0,12.0,Lost Second Round,2001-02,52.0,12.0,0.812,2.0,,,,76,20,0.792,3.0,,,
Fran McCaffery,UNC Greensboro,Southern,7.0,22.0,0.241,,,,1999-00,61.0,58.0,0.513,1.0,,,,110,97,0.531,2.0,,,
Ray McCallum,Houston,CUSA,8.0,20.0,0.286,,,,2000-01,35.0,55.0,0.389,,,,,161,131,0.551,2.0,,,
Eddie McCarter,UT Arlington,Southland,16.0,13.0,0.552,,,,1992-93,135.0,168.0,0.446,,,,,135,168,0.446,,,,
Steve McClain,Wyoming,MWC,21.0,11.0,0.656,,,,1998-99,100.0,52.0,0.658,1.0,,,,100,52,0.658,1.0,,,
Mike McConathy,Northwestern State,Southland,6.0,21.0,0.222,,,,1999-00,55.0,65.0,0.458,1.0,,,,55,65,0.458,1.0,,,
Robert McCullum,Western Michigan,MAC,20.0,11.0,0.645,,,,2000-01,44.0,45.0,0.494,,,,,44,45,0.494,,,,
Greg McDermott,Northern Iowa,MVC,11.0,17.0,0.393,,,,2001-02,25.0,32.0,0.439,,,,,25,32,0.439,,,,
Ritchie McKay,New Mexico,MWC,10.0,18.0,0.357,,,,2002-03,10.0,18.0,0.357,,,,,93,107,0.465,,,,
Bob McKillop,Davidson,Southern,17.0,10.0,0.63,,,,1989-90,222.0,181.0,0.551,2.0,,,,222,181,0.551,2.0,,,
Steve Merfeld,Evansville,MVC,12.0,16.0,0.429,,,,2002-03,12.0,16.0,0.429,,,,,102,73,0.583,2.0,,,
Joe Mihalich,Niagara,MAAC,17.0,12.0,0.586,,,,1998-99,84.0,63.0,0.571,,,,,84,63,0.571,,,,
Glen Miller,Brown,Ivy,17.0,12.0,0.586,,,,1999-00,57.0,53.0,0.518,,,,,57,53,0.518,,,,
Fang Mitchell,Coppin State,MEAC,11.0,17.0,0.393,,,,1986-87,286.0,214.0,0.572,3.0,,,,286,214,0.572,3.0,,,
Dan Monson,Minnesota,Big Ten,19.0,14.0,0.576,24.0,,,1999-00,67.0,57.0,0.54,,,,,119,74,0.617,1.0,1.0,,
Mike Montgomery,Stanford,Pac-10,24.0,9.0,0.727,,18.0,Lost Second Round,1986-87,362.0,166.0,0.686,11.0,3.0,1.0,,516,243,0.68,11.0,3.0,1.0,
Stew Morrill,Utah State,Big West,24.0,9.0,0.727,,,Lost First Round,1998-99,118.0,42.0,0.738,3.0,,,,336,180,0.651,4.0,,,
Porter Moser,Little Rock,Sun Belt,18.0,12.0,0.6,,,,2000-01,54.0,34.0,0.614,,,,,54,34,0.614,,,,
Danny Nee,Duquesne,A-10,9.0,21.0,0.3,,,,2001-02,18.0,40.0,0.31,,,,,386,319,0.548,7.0,,,
Doug Noll,Purdue Fort Wayne,Ind,9.0,21.0,0.3,,,,2002-03,9.0,21.0,0.3,,,,,9,21,0.3,,,,
Dennis Nutt,Texas State,Southland,17.0,12.0,0.586,,,,2000-01,42.0,43.0,0.494,,,,,42,43,0.494,,,,
Dickey Nutt,Arkansas State,Sun Belt,13.0,15.0,0.464,,,,1995-96,117.0,113.0,0.509,1.0,,,,117,113,0.509,1.0,,,
Jim O'Brien ,Ohio State,Big Ten,17.0,15.0,0.531,,,,1997-98,119.0,72.0,0.623,4.0,1.0,1.0,,354,289,0.551,7.0,2.0,1.0,
Fran O'Hanlon,Lafayette,Patriot,13.0,16.0,0.448,,,,1995-96,123.0,107.0,0.535,2.0,,,,123,107,0.535,2.0,,,
Tim O'Shea,Ohio,MAC,14.0,16.0,0.467,,,,2001-02,31.0,27.0,0.534,,,,,31,27,0.534,,,,
Tim O'Toole,Fairfield,MAAC,19.0,12.0,0.613,,,,1998-99,69.0,75.0,0.479,,,,,69,75,0.479,,,,
Dave Odom,South Carolina,SEC,12.0,16.0,0.429,,,,2001-02,34.0,31.0,0.523,,,,,311,206,0.602,8.0,3.0,,
Doug Oliver,Idaho State,Big Sky,15.0,14.0,0.517,,,,1998-99,53.0,84.0,0.387,,,,,53,84,0.387,,,,
Lute Olson,Arizona,Pac-10,28.0,4.0,0.875,1.0,2.0,Lost Regional Final,1983-84,497.0,149.0,0.769,19.0,10.0,4.0,1.0,686,244,0.738,24.0,12.0,5.0,1.0
Louis Orr,Seton Hall,Big East,17.0,13.0,0.567,,,,2001-02,29.0,31.0,0.483,,,,,49,42,0.538,,,,
Ricardo Patton,Colorado,Big 12,20.0,12.0,0.625,,,Lost First Round,1995-96,125.0,103.0,0.548,2.0,,,,125,103,0.548,2.0,,,
Bruce Pearl,Milwaukee,Horizon,24.0,8.0,0.75,,,Lost First Round,2001-02,40.0,21.0,0.656,1.0,,,,40,21,0.656,1.0,,,
Tom Pecora,Hofstra,CAA,8.0,21.0,0.276,,,,2001-02,20.0,41.0,0.328,,,,,20,41,0.328,,,,
John Pelphrey,South Alabama,Sun Belt,14.0,14.0,0.5,,,,2002-03,14.0,14.0,0.5,,,,,14,14,0.5,,,,
Leonard Perry,Idaho,Big West,13.0,15.0,0.464,,,,2001-02,22.0,34.0,0.393,,,,,22,34,0.393,,,,
Michael Perry,Georgia State,A-Sun,10.0,9.0,0.526,,,,2002-03,10.0,9.0,0.526,,,,,10,9,0.526,,,,
Buzz Peterson,Tennessee,SEC,17.0,12.0,0.586,,,,2001-02,32.0,28.0,0.533,,,,,137,78,0.637,1.0,,,
Vann Pettaway,Alabama A&M,SWAC,8.0,19.0,0.296,,,,1998-99,72.0,67.0,0.518,,,,,72,67,0.518,,,,
Jim Phelan,Mount St. Mary's,NEC,11.0,16.0,0.407,,,,1988-89,179.0,242.0,0.425,2.0,,,,179,242,0.425,2.0,,,
John Phillips,Tulsa,WAC,23.0,10.0,0.697,25.0,,Lost Second Round,2001-02,50.0,17.0,0.746,2.0,,,,50,17,0.746,2.0,,,
Rick Pitino,Louisville,CUSA,25.0,7.0,0.781,,14.0,Lost Second Round,2001-02,44.0,20.0,0.688,1.0,,,,398,148,0.729,9.0,6.0,4.0,1.0
Jim Platt,Charleston Southern,Big South,14.0,14.0,0.5,,,,2000-01,36.0,50.0,0.419,,,,,91,110,0.453,,,,
Jeff Price,Georgia Southern,Southern,16.0,13.0,0.552,,,,1999-00,63.0,52.0,0.548,,,,,63,52,0.548,,,,
Tic Price,McNeese State,Southland,15.0,14.0,0.517,,,,2001-02,36.0,23.0,0.61,1.0,,,,129,77,0.626,2.0,,,
Skip Prosser,Wake Forest,ACC,25.0,6.0,0.806,,8.0,Lost Second Round,2001-02,46.0,19.0,0.708,2.0,,,,211,97,0.685,7.0,,,
Oliver Purnell,Dayton,A-10,24.0,6.0,0.8,,16.0,Lost First Round,1994-95,155.0,116.0,0.572,2.0,,,,256,191,0.573,3.0,,,
Duane Reboul,Birmingham-Southern,Ind,19.0,9.0,0.679,,,,2002-03,19.0,9.0,0.679,,,,,19,9,0.679,,,,
Clifford Reed,Bethune-Cookman,MEAC,8.0,22.0,0.267,,,,2001-02,14.0,27.0,0.341,,,,,14,27,0.341,,,,
Larry Reynolds,Long Beach State,Big West,5.0,22.0,0.185,,,,2002-03,5.0,22.0,0.185,,,,,5,22,0.185,,,,
Keith Richard,Louisiana Tech,WAC,12.0,15.0,0.444,,,,1998-99,91.0,54.0,0.628,,,,,91,54,0.628,,,,
Nolan Richardson III,Tennessee State,OVC,2.0,9.0,0.182,,,,2000-01,23.0,45.0,0.338,,,,,23,45,0.338,,,,
Tom Richardson,Illinois State,MVC,8.0,21.0,0.276,,,,1999-00,56.0,64.0,0.467,,,,,56,64,0.467,,,,
John Robic,Youngstown State,Horizon,9.0,20.0,0.31,,,,1999-00,45.0,70.0,0.391,,,,,45,70,0.391,,,,
Lorenzo Romar,Washington,Pac-10,10.0,17.0,0.37,,,,2002-03,10.0,17.0,0.37,,,,,103,105,0.495,1.0,,,
Phil Rowe,New Hampshire,AEC,5.0,23.0,0.179,,,,1999-00,26.0,86.0,0.232,,,,,26,86,0.232,,,,
Jeff Ruland,Iona,MAAC,17.0,12.0,0.586,,,,1998-99,88.0,65.0,0.575,2.0,,,,88,65,0.575,2.0,,,
Bo Ryan,Wisconsin,Big Ten,24.0,8.0,0.75,,21.0,Lost Regional Semifinal,2001-02,43.0,21.0,0.672,2.0,1.0,,,73,48,0.603,2.0,1.0,,
Kelvin Sampson,Oklahoma,Big 12,27.0,7.0,0.794,3.0,3.0,Lost Regional Final,1994-95,214.0,81.0,0.725,9.0,3.0,1.0,,317,184,0.633,10.0,3.0,1.0,
Byron Samuels,Radford,Big South,10.0,20.0,0.333,,,,2002-03,10.0,20.0,0.333,,,,,27,56,0.325,,,,
Rick Samuels,Eastern Illinois,OVC,14.0,15.0,0.483,,,,1981-82,326.0,312.0,0.511,2.0,,,,329,318,0.509,2.0,,,
Scott Sanderson,Lipscomb,Ind,8.0,20.0,0.286,,,,2002-03,8.0,20.0,0.286,,,,,8,20,0.286,,,,
Ed Schilling,Wright State,Horizon,10.0,18.0,0.357,,,,1997-98,75.0,93.0,0.446,,,,,75,93,0.446,,,,
Mark Schmidt,Robert Morris,NEC,10.0,17.0,0.37,,,,2001-02,22.0,35.0,0.386,,,,,22,35,0.386,,,,
Heath Schroyer,Portland State,Big Sky,5.0,22.0,0.185,,,,2002-03,5.0,22.0,0.185,,,,,5,22,0.185,,,,
Joe Scott,Air Force,MWC,12.0,16.0,0.429,,,,2000-01,29.0,56.0,0.341,,,,,29,56,0.341,,,,
Rick Scruggs,Gardner-Webb,A-Sun,5.0,24.0,0.172,,,,2002-03,5.0,24.0,0.172,,,,,5,24,0.172,,,,
Bill Self,Illinois,Big Ten,25.0,7.0,0.781,,11.0,Lost Second Round,2000-01,78.0,24.0,0.765,3.0,2.0,,,207,105,0.663,5.0,3.0,,
Herb Sendek,NC State,ACC,18.0,13.0,0.581,,,Lost First Round,1996-97,127.0,98.0,0.564,2.0,,,,190,124,0.605,3.0,,,
Steve Shurina,Western Carolina,Southern,9.0,19.0,0.321,,,,2000-01,27.0,60.0,0.31,,,,,27,60,0.31,,,,
Larry Shyatt,Clemson,ACC,15.0,13.0,0.536,,,,1998-99,70.0,84.0,0.455,,,,,89,93,0.489,,,,
Mark Simons,Elon,Big South,12.0,15.0,0.444,,,,1999-00,47.0,66.0,0.416,,,,,47,66,0.416,,,,
Al Skinner Jr,Boston College,Big East,19.0,12.0,0.613,,,,1997-98,98.0,85.0,0.536,2.0,,,,236,211,0.528,4.0,,,
Mark Slonaker,Mercer,A-Sun,23.0,6.0,0.793,,,,1997-98,67.0,104.0,0.392,,,,,68,128,0.347,,,,
Jay Smith,Central Michigan,MAC,25.0,7.0,0.781,,,Lost Second Round,1997-98,75.0,94.0,0.444,1.0,,,,75,94,0.444,1.0,,,
Tubby Smith,Kentucky,SEC,32.0,4.0,0.889,17.0,1.0,Lost Regional Final,1997-98,164.0,47.0,0.777,6.0,5.0,1.0,1.0,288,109,0.725,10.0,8.0,1.0,1.0
Quin Snyder,Missouri,Big 12,22.0,11.0,0.667,19.0,24.0,Lost Second Round,1999-00,84.0,49.0,0.632,4.0,1.0,,,84,49,0.632,4.0,1.0,,
Brad Soderberg,Saint Louis,CUSA,16.0,14.0,0.533,,,,2002-03,16.0,14.0,0.533,,,,,32,24,0.571,1.0,,,
Kirk Speraw,UCF,A-Sun,21.0,11.0,0.656,,,,1993-94,146.0,148.0,0.497,2.0,,,,146,148,0.497,2.0,,,
Rob Spivery,Alabama State,SWAC,14.0,15.0,0.483,,,,1996-97,98.0,106.0,0.48,1.0,,,,98,106,0.48,1.0,,,
Charles Spoonhour,UNLV,MWC,21.0,11.0,0.656,,,,2001-02,42.0,22.0,0.656,,,,,361,193,0.652,8.0,,,
Kevin Stallings,Vanderbilt,SEC,11.0,18.0,0.379,,,,1999-00,62.0,59.0,0.512,,,,,185,122,0.603,2.0,,,
Rick Stansbury,Mississippi State,SEC,21.0,10.0,0.677,12.0,20.0,Lost First Round,1998-99,100.0,60.0,0.625,2.0,,,,100,60,0.625,2.0,,,
Jerry Steele,High Point,Big South,7.0,20.0,0.259,,,,1999-00,37.0,76.0,0.327,,,,,37,76,0.327,,,,
Andy Stoglin,Jackson State,SWAC,10.0,18.0,0.357,,,,1989-90,197.0,216.0,0.477,2.0,,,,229,242,0.486,2.0,,,
Ricky Stokes,Virginia Tech,Big East,11.0,18.0,0.379,,,,1999-00,45.0,70.0,0.391,,,,,45,70,0.391,,,,
Lafayette Stribling,Mississippi Valley State,SWAC,15.0,14.0,0.517,,,,1983-84,270.0,296.0,0.477,3.0,,,,270,296,0.477,3.0,,,
Pete Strickland,Coastal Carolina,Big South,13.0,15.0,0.464,,,,1998-99,46.0,93.0,0.331,,,,,46,93,0.331,,,,
Frank Sullivan,Harvard,Ivy,12.0,15.0,0.444,,,,1991-92,137.0,177.0,0.436,,,,,137,177,0.436,,,,
Tom Sullivan,UMBC,NEC,7.0,20.0,0.259,,,,1995-96,99.0,125.0,0.442,,,,,101,151,0.401,,,,
Eddie Sutton,Oklahoma State,Big 12,22.0,10.0,0.688,,,Lost Second Round,1990-91,294.0,124.0,0.703,11.0,4.0,1.0,,726,289,0.715,24.0,11.0,2.0,
Mike Sutton,Tennessee Tech,OVC,20.0,12.0,0.625,,,,2002-03,20.0,12.0,0.625,,,,,20,12,0.625,,,,
Scott Sutton,Oral Roberts,Mid-Cont,18.0,10.0,0.643,,,,1999-00,58.0,60.0,0.492,,,,,58,60,0.492,,,,
Billy Taylor,Lehigh,Patriot,16.0,12.0,0.571,,,,2002-03,16.0,12.0,0.571,,,,,16,12,0.571,,,,
Blaine Taylor,Old Dominion,CAA,12.0,15.0,0.444,,,,2001-02,25.0,31.0,0.446,,,,,166,97,0.631,2.0,,,
Bob Thomason,Pacific,Big West,12.0,16.0,0.429,,,,1988-89,234.0,201.0,0.538,1.0,,,,234,201,0.538,1.0,,,
Derek Thompson,Morris Brown,Ind,8.0,20.0,0.286,,,,2001-02,13.0,44.0,0.228,,,,,13,44,0.228,,,,
John Thompson III,Princeton,Ivy,16.0,11.0,0.593,,,,2000-01,48.0,34.0,0.585,1.0,,,,48,34,0.585,1.0,,,
Jimmy Tillette,Samford,A-Sun,13.0,15.0,0.464,,,,1997-98,102.0,73.0,0.583,2.0,,,,102,73,0.583,2.0,,,
Monte Towe,New Orleans,Sun Belt,15.0,14.0,0.517,,,,2001-02,30.0,28.0,0.517,,,,,30,28,0.517,,,,
Thomas Trotter,Maryland-Eastern Shore,MEAC,5.0,23.0,0.179,,,,2000-01,28.0,57.0,0.329,,,,,28,57,0.329,,,,
Mark Turgeon,Wichita State,MVC,18.0,12.0,0.6,,,,2000-01,42.0,46.0,0.477,,,,,67,75,0.472,,,,
Jan Van Breda Kolff,St. Bonaventure,A-10,13.0,14.0,0.481,,,,2001-02,30.0,27.0,0.526,,,,,204,155,0.568,2.0,,,
Mike Vining,Louisiana-Monroe,Southland,12.0,16.0,0.429,,,,1981-82,381.0,265.0,0.59,7.0,,,,381,265,0.59,7.0,,,
Jerry Wainwright,Richmond,A-10,15.0,14.0,0.517,,,,2002-03,15.0,14.0,0.517,,,,,151,117,0.563,2.0,,,
Al Walker,Binghamton,AEC,14.0,13.0,0.519,,,,2001-02,23.0,32.0,0.418,,,,,50,83,0.376,,,,
Riley Wallace,Hawaii,WAC,19.0,12.0,0.613,,,,1987-88,262.0,216.0,0.548,3.0,,,,277,243,0.533,3.0,,,
Royce Waltman,Indiana State,MVC,7.0,24.0,0.226,,,,1997-98,88.0,91.0,0.492,2.0,,,,88,91,0.492,2.0,,,
Gary Waters,Rutgers,Big East,12.0,16.0,0.429,,,,2001-02,30.0,29.0,0.508,,,,,122,89,0.578,2.0,,,
Melvin Watkins,Texas A&M,Big 12,14.0,14.0,0.5,,,,1998-99,53.0,91.0,0.368,,,,,95,111,0.461,2.0,,,
Perry Watson,Detroit Mercy,Horizon,18.0,12.0,0.6,,,,1993-94,194.0,113.0,0.632,2.0,,,,194,113,0.632,2.0,,,
Derek Waugh,Stetson,A-Sun,7.0,20.0,0.259,,,,2000-01,34.0,48.0,0.415,,,,,34,48,0.415,,,,
Bruce Weber,Southern Illinois,MVC,24.0,7.0,0.774,,,Lost First Round,1998-99,103.0,54.0,0.656,2.0,1.0,,,103,54,0.656,2.0,1.0,,
Tim Welsh,Providence,Big East,18.0,14.0,0.562,,,,1998-99,81.0,73.0,0.526,1.0,,,,151,95,0.614,2.0,,,
Paul Westphal,Pepperdine,WCC,15.0,13.0,0.536,,,,2001-02,37.0,22.0,0.627,1.0,,,,37,22,0.627,1.0,,,
Greg White,Marshall,MAC,14.0,15.0,0.483,,,,1996-97,115.0,84.0,0.578,,,,,115,84,0.578,,,,
Davey Whitney,Alcorn State,SWAC,14.0,19.0,0.424,,,,1977-78,332.0,230.0,0.591,6.0,,,,332,230,0.591,6.0,,,
Dereck Whittenburg,Wagner,NEC,21.0,11.0,0.656,,,Lost First Round,1999-00,67.0,50.0,0.573,1.0,,,,67,50,0.573,1.0,,,
Ralph Willard,Holy Cross,Patriot,26.0,5.0,0.839,,,Lost First Round,1999-00,76.0,46.0,0.623,3.0,,,,220,170,0.564,5.0,1.0,,
Bob Williams,UCSB,Big West,18.0,14.0,0.562,,,,1998-99,80.0,67.0,0.544,1.0,,,,80,67,0.544,1.0,,,
Gary Williams,Maryland,ACC,21.0,10.0,0.677,13.0,17.0,Lost Regional Semifinal,1989-90,295.0,153.0,0.658,10.0,7.0,2.0,1.0,502,281,0.641,13.0,9.0,2.0,1.0
Roy Williams,Kansas,Big 12,30.0,8.0,0.789,2.0,6.0,Lost National Final,1988-89,418.0,101.0,0.805,14.0,9.0,4.0,,418,101,0.805,14.0,9.0,4.0,
Willis Wilson,Rice,WAC,19.0,10.0,0.655,,,,1992-93,146.0,165.0,0.469,,,,,146,165,0.469,,,,
Reggie Witherspoon,Buffalo,MAC,5.0,23.0,0.179,,,,1999-00,24.0,85.0,0.22,,,,,24,85,0.22,,,,
Dennis Wolff,Boston University,AEC,20.0,11.0,0.645,,,,1994-95,149.0,118.0,0.558,2.0,,,,149,118,0.558,2.0,,,
Jim Wooldridge,Kansas State,Big 12,13.0,17.0,0.433,,,,2000-01,37.0,51.0,0.42,,,,,135,150,0.474,1.0,,,
Jay Wright,Villanova,Big East,15.0,16.0,0.484,,,,2001-02,34.0,29.0,0.54,,,,,156,114,0.578,2.0,,,
Larry Wright,Grambling,SWAC,12.0,18.0,0.4,,,,1999-00,30.0,85.0,0.261,,,,,30,85,0.261,,,,
Mike Young,Wofford,Southern,14.0,15.0,0.483,,,,2002-03,14.0,15.0,0.483,,,,,14,15,0.483,,,,
Rich Zvosec,Kansas City,Mid-Cont,9.0,20.0,0.31,,,,2001-02,27.0,31.0,0.466,,,,,65,79,0.451,,,,
Mike Adras,Northern Arizona,Big Sky,15.0,14.0,0.517,,,,1999-00,79.0,66.0,0.545,1.0,,,,79,66,0.545,1.0,,,
Steve Aggers,Loyola Marymount,WCC,15.0,14.0,0.517,,,,2000-01,44.0,73.0,0.376,,,,,95,155,0.38,,,,
Cy Alexander,Tennessee State,OVC,7.0,21.0,0.25,,,,2003-04,7.0,21.0,0.25,,,,,283,221,0.562,5.0,,,
Steve Alford,Iowa,Big Ten,16.0,13.0,0.552,,,,1999-00,89.0,71.0,0.556,1.0,,,,167,119,0.584,2.0,1.0,,
Frankie Allen,Howard,MEAC,6.0,22.0,0.214,,,,2000-01,47.0,70.0,0.402,,,,,218,271,0.446,2.0,,,
Dana Altman,Creighton,MVC,20.0,9.0,0.69,,,,1994-95,195.0,109.0,0.641,5.0,,,,278,176,0.612,6.0,,,
Tommy Amaker,Michigan,Big Ten,23.0,11.0,0.676,,,,2001-02,51.0,42.0,0.548,,,,,119,97,0.551,1.0,1.0,,
Mike Anderson Sr,UAB,CUSA,22.0,10.0,0.688,,,Lost Regional Semifinal,2002-03,43.0,23.0,0.652,1.0,1.0,,,43,23,0.652,1.0,1.0,,
Tevester Anderson,Jackson State,SWAC,12.0,17.0,0.414,,,,2003-04,12.0,17.0,0.414,,,,,115,69,0.625,2.0,,,
Ronnie Arrow,Texas A&M-Corpus Christi,Ind,15.0,11.0,0.577,,,,2002-03,29.0,26.0,0.527,,,,,143,119,0.546,2.0,,,
Rick Barnes,Texas,Big 12,25.0,8.0,0.758,12.0,12.0,Lost Regional Semifinal,1998-99,141.0,58.0,0.709,6.0,3.0,1.0,,343,192,0.641,12.0,4.0,1.0,
Rod Barnes,Ole Miss,SEC,13.0,15.0,0.464,,,,1998-99,113.0,76.0,0.598,3.0,1.0,,,113,76,0.598,3.0,1.0,,
Jim Baron,Rhode Island,A-10,20.0,14.0,0.588,,,,2001-02,47.0,46.0,0.505,,,,,253,248,0.505,2.0,,,
Murry Bartow,ETSU,Southern,27.0,6.0,0.818,,,Lost First Round,2003-04,27.0,6.0,0.818,1.0,,,,130,89,0.594,2.0,,,
Butch Beard,Morgan State,MEAC,11.0,16.0,0.407,,,,2001-02,21.0,63.0,0.25,,,,,66,132,0.333,1.0,,,
John Beilein,West Virginia,Big East,17.0,14.0,0.548,,,,2002-03,31.0,29.0,0.517,,,,,220,144,0.604,2.0,,,
Bart Bellairs,VMI,Big South,6.0,22.0,0.214,,,,1994-95,107.0,173.0,0.382,,,,,107,173,0.382,,,,
Dick Bennett,Washington State,Pac-10,13.0,16.0,0.448,,,,2003-04,13.0,16.0,0.448,,,,,293,194,0.602,7.0,1.0,1.0,
Randy Bennett,Saint Mary's,WCC,19.0,12.0,0.613,,,,2001-02,43.0,47.0,0.478,,,,,43,47,0.478,,,,
Ben Betts Jr,South Carolina State,MEAC,18.0,11.0,0.621,,,,1994-95,19.0,13.0,0.594,,,,,19,13,0.594,,,,
Paul Biancardi,Wright State,Horizon,14.0,14.0,0.5,,,,2003-04,14.0,14.0,0.5,,,,,14,14,0.5,,,,
Henry Bibby,USC,Pac-10,13.0,15.0,0.464,,,,1995-96,130.0,118.0,0.524,3.0,1.0,,,130,118,0.524,3.0,1.0,,
Eddie Biedenbach,UNC Asheville,Big South,9.0,20.0,0.31,,,,1996-97,111.0,121.0,0.478,1.0,,,,140,172,0.449,1.0,,,
Dave Bike,Sacred Heart,NEC,12.0,15.0,0.444,,,,1999-00,38.0,102.0,0.271,,,,,38,102,0.271,,,,
Ricky Blanton,Nicholls State,Southland,6.0,21.0,0.222,,,,2002-03,9.0,46.0,0.164,,,,,9,46,0.164,,,,
Jim Boeheim,Syracuse,Big East,23.0,8.0,0.742,7.0,20.0,Lost Regional Semifinal,1976-77,676.0,234.0,0.743,23.0,13.0,3.0,1.0,676,234,0.743,23.0,13.0,3.0,1.0
Jim Boone,Eastern Michigan,MAC,13.0,15.0,0.464,,,,2000-01,36.0,78.0,0.316,,,,,81,144,0.36,,,,
John Brady,LSU,SEC,18.0,11.0,0.621,,,,1997-98,120.0,92.0,0.566,2.0,1.0,,,209,169,0.553,2.0,1.0,,
Bobby Braswell,Cal State Northridge,Big West,14.0,16.0,0.467,,,,1996-97,125.0,110.0,0.532,1.0,,,,125,110,0.532,1.0,,,
Ben Braun,California,Pac-10,13.0,15.0,0.464,,,,1996-97,153.0,94.0,0.619,4.0,1.0,,,337,227,0.598,7.0,2.0,,
Tom Brennan,Vermont,AEC,22.0,9.0,0.71,,,Lost First Round,1986-87,239.0,269.0,0.47,2.0,,,,285,327,0.466,2.0,,,
Mike Brey,Notre Dame,Big East,19.0,13.0,0.594,21.0,,,2000-01,85.0,44.0,0.659,3.0,1.0,,,184,96,0.657,5.0,1.0,,
Kevin Bromley,Cal Poly,Big West,11.0,16.0,0.407,,,,2000-01,46.0,54.0,0.46,,,,,46,54,0.46,,,,
Milan Brown,Mount St. Mary's,NEC,10.0,19.0,0.345,,,,2003-04,10.0,19.0,0.345,,,,,10,19,0.345,,,,
Will Brown,Albany (NY),AEC,5.0,23.0,0.179,,,,2001-02,19.0,57.0,0.25,,,,,19,57,0.25,,,,
Brad Brownell,UNC Wilmington,CAA,15.0,15.0,0.5,,,,2002-03,39.0,22.0,0.639,1.0,,,,39,22,0.639,1.0,,,
Tim Buckley,Ball State,MAC,14.0,15.0,0.483,,,,2000-01,68.0,56.0,0.548,,,,,68,56,0.548,,,,
Bob Burton,Cal State Fullerton,Big West,11.0,17.0,0.393,,,,2003-04,11.0,17.0,0.393,,,,,11,17,0.393,,,,
Rick Byrd,Belmont,A-Sun,21.0,9.0,0.7,,,,1999-00,69.0,74.0,0.483,,,,,69,74,0.483,,,,
Jim Calhoun,UConn,Big East,33.0,6.0,0.846,1.0,7.0,Won National Final,1986-87,434.0,166.0,0.723,12.0,10.0,2.0,2.0,682,303,0.692,17.0,10.0,2.0,2.0
John Calipari,Memphis,CUSA,22.0,8.0,0.733,,24.0,Lost Second Round,2000-01,93.0,39.0,0.705,2.0,,,,286,110,0.722,7.0,3.0,1.0,
Dave Calloway,Monmouth,NEC,21.0,12.0,0.636,,,Lost First Round,1997-98,95.0,94.0,0.503,2.0,,,,95,94,0.503,2.0,,,
Bret Campbell,UT-Martin,OVC,10.0,18.0,0.357,,,,1999-00,59.0,83.0,0.415,,,,,59,83,0.415,,,,
Jeff Capel III,VCU,CAA,23.0,8.0,0.742,,,Lost First Round,2002-03,41.0,18.0,0.695,1.0,,,,41,18,0.695,1.0,,,
Bill Carmody,Northwestern,Big Ten,14.0,15.0,0.483,,,,2000-01,53.0,64.0,0.453,,,,,145,89,0.62,2.0,,,
Terry Carroll,Denver,Sun Belt,14.0,13.0,0.519,,,,2001-02,39.0,48.0,0.448,,,,,39,48,0.448,,,,
Tim Carter,UTSA,Southland,19.0,14.0,0.576,,,Lost First Round,1995-96,134.0,122.0,0.523,2.0,,,,134,122,0.523,2.0,,,
